0 [0.00e+00, 0.00e+00]
100 [3.53e-02, -3.41e-02]
200 [2.02e-01, -5.90e-02]
300 [3.93e-01, -7.48e-03]
400 [5.49e-01, 4.32e-04]
500 [6.70e-01, 4.48e-03]
600 [7.62e-01, 6.79e-03]
700 [8.30e-01, 8.14e-03]
800 [8.75e-01, 8.77e-03]
900 [9.03e-01, 9.50e-03]
1000 [9.23e-01, 1.03e-02]
1100 [9.37e-01, 1.07e-02]
1200 [9.48e-01, 1.11e-02]
1300 [9.55e-01, 1.14e-02]
1400 [9.59e-01, 1.15e-02]
1500 [9.64e-01, 1.18e-02]
1600 [9.67e-01, 1.21e-02]
1700 [9.69e-01, 1.22e-02]
1779 [9.71e-01, 1.24e-02]
1800 [9.63e-01, 1.26e-02]
1900 [9.65e-01, 1.18e-02]
2000 [9.69e-01, 1.20e-02]
2100 [9.72e-01, 1.22e-02]
2200 [9.74e-01, 1.24e-02]
2300 [9.75e-01, 1.25e-02]
2400 [9.77e-01, 1.26e-02]
2500 [9.78e-01, 1.26e-02]
2600 [9.79e-01, 1.26e-02]
2700 [9.79e-01, 1.26e-02]
2800 [9.80e-01, 1.26e-02]
2900 [9.80e-01, 1.26e-02]
3000 [9.81e-01, 1.26e-02]
3100 [9.82e-01, 1.25e-02]
3200 [9.82e-01, 1.25e-02]
3300 [9.82e-01, 1.25e-02]
3400 [9.82e-01, 1.24e-02]
3500 [9.83e-01, 1.24e-02]
3600 [9.84e-01, 1.24e-02]
3700 [9.84e-01, 1.22e-02]
3800 [9.84e-01, 1.23e-02]
3900 [9.84e-01, 1.21e-02]
4000 [9.84e-01, 1.20e-02]
4100 [9.85e-01, 1.22e-02]
4200 [9.86e-01, 1.20e-02]
4300 [9.86e-01, 1.19e-02]
4400 [9.85e-01, 1.18e-02]
4500 [9.86e-01, 1.18e-02]
4600 [9.87e-01, 1.18e-02]
4700 [9.87e-01, 1.17e-02]
4800 [9.87e-01, 1.16e-02]
4900 [9.87e-01, 1.16e-02]
5000 [9.88e-01, 1.16e-02]
5100 [9.88e-01, 1.17e-02]
5200 [9.87e-01, 1.13e-02]
5300 [9.88e-01, 1.14e-02]
5400 [9.89e-01, 1.14e-02]
5500 [9.89e-01, 1.13e-02]
5600 [9.89e-01, 1.14e-02]
5700 [9.90e-01, 1.13e-02]
5800 [9.90e-01, 1.12e-02]
5900 [9.90e-01, 1.12e-02]
6000 [9.90e-01, 1.12e-02]
6100 [9.90e-01, 1.11e-02]
6200 [9.90e-01, 1.11e-02]
6300 [9.91e-01, 1.09e-02]
6400 [9.91e-01, 1.10e-02]
6500 [9.91e-01, 1.10e-02]
6600 [9.92e-01, 1.10e-02]
6700 [9.92e-01, 1.09e-02]
6779 [9.91e-01, 1.09e-02]
